"studyLatitude","studyLongitude","country","effectSize","sampleSize","interventionType","key","author","crop","crop2","duration","soil","climate","location"
47.65,-117.42,"United States of America",-0.085157808,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"4 year","USDA Class 73","Cool Temperate and Dry","Reported"
-34.37,146.9,"Australia",-0.844266636,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"2 year","USDA Class 31","Warm Temperate and Xeric","Reported"
56.48,13,"Sweden",-0.754180049,"2","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","oat",NA,"less than 1 year","USDA Class 84","Cold and Mesic","Reported"
38.53,-121.78,"United States of America",-0.009369745,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","tomato",NA,"less than 1 year","USDA Class 99","Warm Temperate and Xeric","Reported"
41.31,-94.46,"United States of America",-0.087905965,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"3 year","USDA Class 76","Cool Temperate and Moist","Reported"
41.31,-94.46,"United States of America",-0.040821995,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"3 year","USDA Class 76","Cool Temperate and Moist","Reported"
44.02,-97.12,"United States of America",-0.052206198,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 75","Cool Temperate and Dry","Reported"
44.02,-97.12,"United States of America",-0.246400413,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","USDA Class 75","Cool Temperate and Dry","Reported"
40.52,-75.77,"United States of America",0.038732019,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.085331995,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-1.581131139,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.237129793,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.313949999,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.086696862,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.256055095,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"4 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.049656615,"14","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"3 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.172121052,"14","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"3 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.048826266,"14","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"3 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.295839236,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.001942377,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.136626598,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.14115228,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.19436599,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.066987359,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.114481532,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.029354081,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.069397958,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.105862945,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.057700032,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.043779937,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.398168318,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.131155262,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.111841508,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.063202389,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.220099042,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.258943476,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.251205133,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.01181008,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.224041869,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.472150152,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.283913722,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.344626006,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.316552826,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.961341303,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.057879414,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.187357266,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.258011267,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.143743536,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.100159991,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.04398652,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.086774786,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.019823992,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.113445424,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.357335794,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.180577201,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.581161263,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.506008847,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.105650049,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.009404966,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.00620339,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.034012972,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.134971278,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.19223425,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.183230471,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.151578,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.144857892,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.159108002,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.342342553,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.019340139,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.00432745,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.092931145,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.060131266,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.100829669,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.203557409,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.054251231,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.042612445,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.254929286,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.292669614,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.154046323,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.427539462,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",0.671509721,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.813617874,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.953264483,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.127889629,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.164749744,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.131484416,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.131745784,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.240176872,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.050508766,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.209344039,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.220392518,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.266062555,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.04835379,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.454327529,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.184214836,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.406928348,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.052613401,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.287199703,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
40.52,-75.77,"United States of America",-0.624129369,"8","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 84","Cool Temperate and Moist","Reported"
38,-97,"United States of America",-0.190406612,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","tomato",NA,"3 year","USDA Class 75","Warm Temperate and Moist","Reported"
56.48,13,"Sweden",-0.217571244,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","oat",NA,"less than 1 year","USDA Class 84","Cold and Mesic","Reported"
56.48,13,"Sweden",-0.752971725,"3","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","barley",NA,"less than 1 year","USDA Class 84","Cold and Mesic","Reported"
41.18,36.93,"Turkey",-0.048447901,"19","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","hazelnut",NA,"1 year","USDA Class 84","Warm Temperate and Moist","Reported"
